FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2010/11,Vancouver Island,West Coast General Hospital,Skin Surgery,0,<5,,
2010/11,Vancouver Island,West Coast General Hospital,Skin Tumour Removal,7,9,23,39.5
2010/11,Vancouver Island,West Coast General Hospital,Sphincterotomy,<5,0,,
2010/11,Vancouver Island,West Coast General Hospital,Spinal/Back Surgery,0,<5,,
2010/11,Vancouver Island,West Coast General Hospital,Tendon Surgery,<5,<5,,
2010/11,Vancouver Island,West Coast General Hospital,Thyroidectomy,<5,5,14,15.4
2010/11,Vancouver Island,West Coast General Hospital,Uterine Surgery,10,75,5.7,11.2
2010/11,Vancouver Island,West Coast General Hospital,Vaginal Repair,8,45,8.3,16.3
2010/11,Vancouver Island,West Coast General Hospital,Varicose Veins Ligation/Stripping,<5,<5,,
2010/11,Vancouver Island,West Coast General Hospital,Wound/Laceration Care,0,5,6,33.5
2011/12,All Health Authorities,All Facilities,Abdominoplasty,78,110,7.8,58.2
2011/12,All Health Authorities,All Facilities,All Other Procedures,"1,462","6,810",4,15
2011/12,All Health Authorities,All Facilities,All Procedures,"75,698","232,922",5.7,26.1
2011/12,All Health Authorities,All Facilities,Aortic Aneurysm Repair,55,391,3.6,14.6
2011/12,All Health Authorities,All Facilities,Appendectomy,24,91,4,18.6
2011/12,All Health Authorities,All Facilities,Bariatric Surgery,389,167,20,202.4
2011/12,All Health Authorities,All Facilities,Biopsy in OR,414,"2,667",2.6,11.3
2011/12,All Health Authorities,All Facilities,Bladder Surgery,"1,591","5,905",4.3,21.7
2011/12,All Health Authorities,All Facilities,Bowel Resection,445,"2,843",2.9,10.7
2011/12,All Health Authorities,All Facilities,Breast Biopsy,255,"2,188",2.4,6
2011/12,All Health Authorities,All Facilities,Breast Reconstruction,741,"1,207",4.7,28.1
2011/12,All Health Authorities,All Facilities,Breast Reduction,"1,340","2,030",11,42.6
2011/12,All Health Authorities,All Facilities,Cataract Surgery,"11,407","50,967",7,25
2011/12,All Health Authorities,All Facilities,Cholecystectomy,"1,707","5,874",5.1,21.6
2011/12,All Health Authorities,All Facilities,Colostomy/Ileostomy,212,589,6.4,26.2
2011/12,All Health Authorities,All Facilities,Cone Biopsy,67,559,3.6,10.6
2011/12,All Health Authorities,All Facilities,Cranial Surgery,112,963,1.4,9.1
2011/12,All Health Authorities,All Facilities,CSF Drainage,9,185,1,2.9
2011/12,All Health Authorities,All Facilities,Cyst/Ganglion Removal,508,"1,281",5.3,23.9
2011/12,All Health Authorities,All Facilities,D&C and Related Surgery,"1,142","5,612",3.6,13.3
2011/12,All Health Authorities,All Facilities,Dental Surgery,"2,300","6,389",7,28
2011/12,All Health Authorities,All Facilities,Endarterectomy,133,674,3,12.9
2011/12,All Health Authorities,All Facilities,Esophagectomy,21,118,2.4,9.1
2011/12,All Health Authorities,All Facilities,Examination Under Anaesthetic,211,854,4.3,19.4
2011/12,All Health Authorities,All Facilities,Excision Gynecomastia,101,201,7,37.3
2011/12,All Health Authorities,All Facilities,Excision Lesion/Tumour,585,"2,588",4,16
2011/12,All Health Authorities,All Facilities,Facial Bone Reconstruction,286,778,5,41.1
2011/12,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,"1,264","3,774",6.1,22.1
2011/12,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,53,142,4.9,19.9
2011/12,All Health Authorities,All Facilities,Foot/Ankle Surgery,566,855,11.9,35.8
2011/12,All Health Authorities,All Facilities,Foreign Body Removal Surgery,49,220,2.7,13.5
2011/12,All Health Authorities,All Facilities,Fracture Repair,249,"1,073",1,15.3
2011/12,All Health Authorities,All Facilities,Free Flap Graft,27,110,3.9,20.6
2011/12,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,14,113,2.3,10.9
2011/12,All Health Authorities,All Facilities,Hand/Wrist Surgery,836,"2,151",6.6,28
2011/12,All Health Authorities,All Facilities,Hernia Repair - Abdominal,"4,087","11,598",7.1,30
2011/12,All Health Authorities,All Facilities,Hernia Repair - Hiatal,276,256,12.9,46.7
2011/12,All Health Authorities,All Facilities,Hip Replacement,"2,220","4,768",14.9,31.6
2011/12,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,245,"1,448",3.3,11
2011/12,All Health Authorities,All Facilities,Knee - ACL Repair,944,"1,991",8.9,30.9
2011/12,All Health Authorities,All Facilities,Knee - Meniscectomy,737,"2,794",7.4,27
2011/12,All Health Authorities,All Facilities,Knee Arthroscopy,"2,871","5,903",7.7,30.5
2011/12,All Health Authorities,All Facilities,Knee Replacement,"4,163","7,018",17.6,36.9
2011/12,All Health Authorities,All Facilities,Laparoscopy,404,"1,669",4.9,18.7
2011/12,All Health Authorities,All Facilities,Laparotomy,75,406,3.1,12.1
2011/12,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,574,"2,999",3,17
2011/12,All Health Authorities,All Facilities,Ligament Surgery,91,179,9.7,34.1
2011/12,All Health Authorities,All Facilities,Lipectomy,42,107,6,21.6
2011/12,All Health Authorities,All Facilities,Lung Surgery,78,583,2.3,5.3
2011/12,All Health Authorities,All Facilities,Male Reproductive Surgery,896,"2,190",6.4,27.1
2011/12,All Health Authorities,All Facilities,Mastectomy,360,"4,089",2,5.6
2011/12,All Health Authorities,All Facilities,Mastoidectomy,150,294,11.6,41
2011/12,All Health Authorities,All Facilities,Myringotomy,619,"1,767",6,16.7
2011/12,All Health Authorities,All Facilities,Nasal Surgery,"2,456","3,238",12.9,43.8
2011/12,All Health Authorities,All Facilities,Nerve Surgery,392,"1,025",5.3,24.8
2011/12,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,91,307,6.4,27.2
2011/12,All Health Authorities,All Facilities,Other Ear Surgery,101,302,11.7,38.1
2011/12,All Health Authorities,All Facilities,Other Eye Surgery,"1,231","4,651",4.7,26.9
2011/12,All Health Authorities,All Facilities,Other Joint Reconstruction,"1,083","2,059",7.1,33.9
2011/12,All Health Authorities,All Facilities,Other Orthopaedic Surgery,"2,845","6,879",6,29.6
2011/12,All Health Authorities,All Facilities,Other Urology Surgery,"1,625","7,391",4,14.6
2011/12,All Health Authorities,All Facilities,Parotidectomy,133,353,8,31.2
2011/12,All Health Authorities,All Facilities,Prostate Surgery,"1,264","5,356",5,17.7
2011/12,All Health Authorities,All Facilities,Rectal Surgery,901,"1,699",7.3,34.5
2011/12,All Health Authorities,All Facilities,Rib Resection,33,74,18.1,39.3
2011/12,All Health Authorities,All Facilities,Scope of Chest,57,637,2,4.9
2011/12,All Health Authorities,All Facilities,Shoulder Surgery,"2,377","3,391",11.1,42.1
2011/12,All Health Authorities,All Facilities,Shunt Insertion/Removal,7,28,2.9,20.1
2011/12,All Health Authorities,All Facilities,Sinus Surgery,"1,722","2,068",16.5,65.8
2011/12,All Health Authorities,All Facilities,Skin Surgery,316,992,3.6,22.6
2011/12,All Health Authorities,All Facilities,Skin Tumour Removal,806,"2,937",3.6,18
2011/12,All Health Authorities,All Facilities,Sphincterotomy,131,194,5.6,22
2011/12,All Health Authorities,All Facilities,Spinal/Back Surgery,"1,697","3,806",5.1,34.1
2011/12,All Health Authorities,All Facilities,Tendon Surgery,255,750,3.9,24.6
2011/12,All Health Authorities,All Facilities,Thoracotomy,17,111,2.7,6.1
2011/12,All Health Authorities,All Facilities,Thyroidectomy,331,"1,340",5.6,24
2011/12,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,"1,676","3,890",10.1,28.6
2011/12,All Health Authorities,All Facilities,Tympanoplasty,587,774,15.4,48.3
2011/12,All Health Authorities,All Facilities,Uterine Surgery,"2,658","12,004",4.9,18.9
2011/12,All Health Authorities,All Facilities,Vaginal Repair,752,"1,557",7.7,30.5
2011/12,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,"1,827","1,231",10.9,75
2011/12,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,198,643,3.1,16
2011/12,All Health Authorities,All Facilities,Vascular Surgery - Other,314,"1,720",2.3,13.1
2011/12,All Health Authorities,All Facilities,Wound/Laceration Care,330,977,3.1,21.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Abdominoplasty,11,7,2.9,78.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Other Procedures,27,54,4.9,41.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,"1,793","5,636",7.9,35.6
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Aortic Aneurysm Repair,12,56,5.1,15.7
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Appendectomy,0,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Biopsy in OR,6,97,2.1,6.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bladder Surgery,62,216,7.3,41.4
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bowel Resection,<5,82,2.7,6.7
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Biopsy,19,150,2.9,7.9
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reconstruction,19,58,5.7,52.8
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reduction,122,208,20.9,60.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cholecystectomy,69,308,5.9,23.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Colostomy/Ileostomy,<5,11,7.1,20.7
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cone Biopsy,0,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cyst/Ganglion Removal,<5,6,4.6,9.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,D&C and Related Surgery,48,180,6.6,20.9
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Dental Surgery,49,288,4.1,11
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Endarterectomy,8,73,2.1,9.2
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Examination Under Anaesthetic,9,21,5.1,22.6
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Gynecomastia,7,26,9.6,40.7
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Lesion/Tumour,8,55,7.9,25.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Facial Bone Reconstruction,0,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fallopian Tube/Ovarian Surgery,69,264,8.7,30.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fistula Repair - Non Vascular,<5,9,12.1,26.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Foot/Ankle Surgery,6,22,17.6,35.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Foreign Body Removal Surgery,<5,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fracture Repair,<5,26,1,9.2
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Free Flap Graft,0,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hand/Wrist Surgery,22,42,9.4,51.9
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Abdominal,82,395,9.6,27.8
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Hiatal,<5,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hip Replacement,36,101,17,41.4
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Kidney/Bladder Stone Removal,<5,10,10.1,17.7
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - ACL Repair,19,54,14.4,32.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - Meniscectomy,69,216,14.4,29.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee Arthroscopy,9,23,14.6,22.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee Replacement,118,232,24.6,48.2
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Laparoscopy,21,75,10.9,25
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Laparotomy,<5,7,3.6,21.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Ligament Surgery,<5,<5,,
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Male Reproductive Surgery,35,53,32,63.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Mastectomy,7,50,3,13.3
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Myringotomy,15,35,12.1,15.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nasal Surgery,50,66,20.9,42.6
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nerve Surgery,<5,8,1.7,14.7
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Ear Surgery,7,5,7,60.6
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Eye Surgery,9,22,48.5,69
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Joint Reconstruction,11,72,14.9,27.4
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Orthopaedic Surgery,58,190,8.1,25.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Urology Surgery,43,122,9.1,36.4
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Parotidectomy,<5,7,3.6,8.5
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Prostate Surgery,71,214,16.5,36.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Rectal Surgery,24,26,16.1,44.1
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Shoulder Surgery,57,92,19.4,43.9
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sinus Surgery,23,38,19.9,33
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Surgery,14,32,3.5,55.6
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Tumour Removal,36,107,6.9,41.8
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sphincterotomy,7,9,2,35.6
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tendon Surgery,<5,22,1,4.2
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Thyroidectomy,9,62,4.1,9.9
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tonsillectomy/Adenoidectomy,71,90,15.7,51.5
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tympanoplasty,<5,6,9.1,30.4
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Uterine Surgery,132,514,9.2,30.2
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vaginal Repair,41,64,29.8,45.2
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Varicose Veins Ligation/Stripping,82,163,4.1,33.5
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Bypass Graft - Non Cardiac,5,44,3.9,13
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Surgery - Other,13,103,2.7,6.9
2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,Wound/Laceration Care,14,33,1.7,22.9
2011/12,Fraser,All Facilities,Abdominoplasty,22,24,3.8,55.2
2011/12,Fraser,All Facilities,All Other Procedures,323,678,4.4,26.8
2011/12,Fraser,All Facilities,All Procedures,"22,731","61,558",6.9,30.7
2011/12,Fraser,All Facilities,Aortic Aneurysm Repair,20,120,4.1,19.2
2011/12,Fraser,All Facilities,Appendectomy,7,19,4,22.2
2011/12,Fraser,All Facilities,Bariatric Surgery,<5,12,3.1,16.1
2011/12,Fraser,All Facilities,Biopsy in OR,57,381,2,6.6
2011/12,Fraser,All Facilities,Bladder Surgery,527,"1,701",4.3,24.7
2011/12,Fraser,All Facilities,Bowel Resection,115,683,3.1,10.1
2011/12,Fraser,All Facilities,Breast Biopsy,110,815,2.6,6.7
2011/12,Fraser,All Facilities,Breast Reconstruction,115,310,6.4,28.9
2011/12,Fraser,All Facilities,Breast Reduction,444,699,13.9,49
2011/12,Fraser,All Facilities,Cataract Surgery,"5,009","16,397",11.9,36.1
2011/12,Fraser,All Facilities,Cholecystectomy,636,"2,182",4.9,19.4
2011/12,Fraser,All Facilities,Colostomy/Ileostomy,46,122,6.9,23.7
2011/12,Fraser,All Facilities,Cone Biopsy,24,182,3.3,7.7
2011/12,Fraser,All Facilities,Cranial Surgery,14,151,1.1,5.1
2011/12,Fraser,All Facilities,CSF Drainage,<5,33,2.6,6.9
2011/12,Fraser,All Facilities,Cyst/Ganglion Removal,21,77,4.1,16.8
2011/12,Fraser,All Facilities,D&C and Related Surgery,532,"2,151",3.4,14
2011/12,Fraser,All Facilities,Dental Surgery,416,"1,043",5,26.8
2011/12,Fraser,All Facilities,Endarterectomy,25,176,3.7,13.1
2011/12,Fraser,All Facilities,Esophagectomy,6,36,2.9,13.4
2011/12,Fraser,All Facilities,Examination Under Anaesthetic,55,189,3,15.9
2011/12,Fraser,All Facilities,Excision Gynecomastia,43,113,6.9,37.5
2011/12,Fraser,All Facilities,Excision Lesion/Tumour,123,485,4,17.4
2011/12,Fraser,All Facilities,Facial Bone Reconstruction,58,189,6.3,20.7
2011/12,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,447,"1,060",6.8,27.7
2011/12,Fraser,All Facilities,Fistula Repair - Non Vascular,26,92,4.9,21.1
2011/12,Fraser,All Facilities,Foot/Ankle Surgery,135,169,10,39.5
2011/12,Fraser,All Facilities,Foreign Body Removal Surgery,17,56,2,17.4
2011/12,Fraser,All Facilities,Fracture Repair,81,379,0.7,10.9
2011/12,Fraser,All Facilities,Free Flap Graft,<5,12,1.8,8.4
2011/12,Fraser,All Facilities,Gastrostomy/Jejunostomy,0,<5,,
2011/12,Fraser,All Facilities,Hand/Wrist Surgery,266,578,8.6,34
2011/12,Fraser,All Facilities,Hernia Repair - Abdominal,"1,210","3,386",7.6,26.9
2011/12,Fraser,All Facilities,Hernia Repair - Hiatal,145,51,12,44.7
2011/12,Fraser,All Facilities,Hip Replacement,301,757,11.7,31.7
2011/12,Fraser,All Facilities,Kidney/Bladder Stone Removal,67,279,3.3,9.5
2011/12,Fraser,All Facilities,Knee - ACL Repair,282,601,10.9,33.6
2011/12,Fraser,All Facilities,Knee - Meniscectomy,179,820,6.6,24.7
2011/12,Fraser,All Facilities,Knee Arthroscopy,866,"1,545",5.9,31.9
2011/12,Fraser,All Facilities,Knee Replacement,941,"1,560",16,41
2011/12,Fraser,All Facilities,Laparoscopy,145,486,4.2,20.5
2011/12,Fraser,All Facilities,Laparotomy,27,160,3.7,12.2
2011/12,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,297,"1,311",4,18.9
2011/12,Fraser,All Facilities,Ligament Surgery,47,98,10,26.8
2011/12,Fraser,All Facilities,Lipectomy,<5,<5,,
2011/12,Fraser,All Facilities,Lung Surgery,25,168,3.1,8.3
2011/12,Fraser,All Facilities,Male Reproductive Surgery,209,410,6.6,36
2011/12,Fraser,All Facilities,Mastectomy,80,820,2.1,7
2011/12,Fraser,All Facilities,Mastoidectomy,47,47,12,52.6
2011/12,Fraser,All Facilities,Myringotomy,347,520,6.7,23
2011/12,Fraser,All Facilities,Nasal Surgery,"1,036",983,18.3,43.6
2011/12,Fraser,All Facilities,Nerve Surgery,49,150,4,20.9
2011/12,Fraser,All Facilities,Oral Cavity & Pharynx Surgery,22,28,7.2,28.2
2011/12,Fraser,All Facilities,Other Ear Surgery,29,39,8.1,36.6
2011/12,Fraser,All Facilities,Other Eye Surgery,253,626,5.8,27.5
2011/12,Fraser,All Facilities,Other Joint Reconstruction,196,508,5,25
2011/12,Fraser,All Facilities,Other Orthopaedic Surgery,572,"1,309",6,28.5
2011/12,Fraser,All Facilities,Other Urology Surgery,389,"1,657",4.1,17.3
2011/12,Fraser,All Facilities,Parotidectomy,33,84,5.6,22.9
2011/12,Fraser,All Facilities,Prostate Surgery,529,"1,420",5.7,26.1
2011/12,Fraser,All Facilities,Rectal Surgery,204,405,7.7,29.2
2011/12,Fraser,All Facilities,Scope of Chest,15,86,2.1,6.9
2011/12,Fraser,All Facilities,Shoulder Surgery,537,624,12.2,34.1
2011/12,Fraser,All Facilities,Sinus Surgery,448,781,16.7,40.9
2011/12,Fraser,All Facilities,Skin Surgery,83,234,4.4,26
2011/12,Fraser,All Facilities,Skin Tumour Removal,339,"1,043",3.3,19.3
2011/12,Fraser,All Facilities,Sphincterotomy,31,46,5.1,21.9
2011/12,Fraser,All Facilities,Spinal/Back Surgery,438,763,7,37
2011/12,Fraser,All Facilities,Tendon Surgery,64,201,1.7,18.9
2011/12,Fraser,All Facilities,Thoracotomy,<5,13,4.6,11
2011/12,Fraser,All Facilities,Thyroidectomy,110,335,5.6,21
2011/12,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,665,"1,099",11.7,31.4
2011/12,Fraser,All Facilities,Tympanoplasty,170,178,19.8,44.4
2011/12,Fraser,All Facilities,Uterine Surgery,840,"3,088",6,22.4
2011/12,Fraser,All Facilities,Vaginal Repair,223,397,9.9,40.1
2011/12,Fraser,All Facilities,Varicose Veins Ligation/Stripping,266,303,4.1,27.7
2011/12,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,28,86,4.4,18.5
2011/12,Fraser,All Facilities,Vascular Surgery - Other,69,376,2.9,8.7
2011/12,Fraser,All Facilities,Wound/Laceration Care,146,359,4.1,23.5
2011/12,Fraser,Burnaby Hospital,Abdominoplasty,<5,0,,
2011/12,Fraser,Burnaby Hospital,All Other Procedures,63,102,8,27.9
2011/12,Fraser,Burnaby Hospital,All Procedures,"3,961","6,957",12.3,39
2011/12,Fraser,Burnaby Hospital,Appendectomy,<5,<5,,
2011/12,Fraser,Burnaby Hospital,Biopsy in OR,<5,7,2.9,5.7
2011/12,Fraser,Burnaby Hospital,Bladder Surgery,43,217,4.9,22.2
2011/12,Fraser,Burnaby Hospital,Bowel Resection,17,77,4.1,11.3
2011/12,Fraser,Burnaby Hospital,Breast Biopsy,5,69,3.1,8.3
2011/12,Fraser,Burnaby Hospital,Breast Reconstruction,15,11,22.7,51.7
2011/12,Fraser,Burnaby Hospital,Breast Reduction,33,30,40.6,61.6
2011/12,Fraser,Burnaby Hospital,Cataract Surgery,"1,125","1,973",22.9,43.8
2011/12,Fraser,Burnaby Hospital,Cholecystectomy,76,177,7.9,24.3
2011/12,Fraser,Burnaby Hospital,Colostomy/Ileostomy,<5,11,6,14.9
2011/12,Fraser,Burnaby Hospital,Cyst/Ganglion Removal,<5,12,10.7,30.2
2011/12,Fraser,Burnaby Hospital,D&C and Related Surgery,106,141,7.1,22.3
2011/12,Fraser,Burnaby Hospital,Dental Surgery,0,<5,,
2011/12,Fraser,Burnaby Hospital,Examination Under Anaesthetic,9,10,3.6,9.8
2011/12,Fraser,Burnaby Hospital,Excision Gynecomastia,0,<5,,
2011/12,Fraser,Burnaby Hospital,Excision Lesion/Tumour,17,20,5.2,21.1
2011/12,Fraser,Burnaby Hospital,Facial Bone Reconstruction,5,0,,
2011/12,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,83,95,13.3,26.2
2011/12,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,12,15,8.4,17.9
2011/12,Fraser,Burnaby Hospital,Foot/Ankle Surgery,16,17,22.3,48.2
2011/12,Fraser,Burnaby Hospital,Foreign Body Removal Surgery,<5,<5,,
2011/12,Fraser,Burnaby Hospital,Fracture Repair,7,5,1.3,3.2
2011/12,Fraser,Burnaby Hospital,Hand/Wrist Surgery,73,97,19,52.2
2011/12,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,176,296,9.5,29.3
2011/12,Fraser,Burnaby Hospital,Hip Replacement,84,152,17.9,34.9
2011/12,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,5,14,3.4,11.9
2011/12,Fraser,Burnaby Hospital,Knee - ACL Repair,60,119,17.1,36.5
2011/12,Fraser,Burnaby Hospital,Knee - Meniscectomy,0,265,5,19.6
2011/12,Fraser,Burnaby Hospital,Knee Arthroscopy,207,147,6.9,19
2011/12,Fraser,Burnaby Hospital,Knee Replacement,165,235,22.9,37.7
2011/12,Fraser,Burnaby Hospital,Laparoscopy,20,33,13.1,28.3
2011/12,Fraser,Burnaby Hospital,Laparotomy,<5,7,6.6,21.4
2011/12,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,58,141,9.7,40
2011/12,Fraser,Burnaby Hospital,Ligament Surgery,<5,7,17.6,24.7
2011/12,Fraser,Burnaby Hospital,Lipectomy,0,<5,,
2011/12,Fraser,Burnaby Hospital,Male Reproductive Surgery,15,47,7,19.1
2011/12,Fraser,Burnaby Hospital,Mastectomy,13,58,3,16.4
2011/12,Fraser,Burnaby Hospital,Mastoidectomy,9,8,28.1,56
2011/12,Fraser,Burnaby Hospital,Myringotomy,0,<5,,
2011/12,Fraser,Burnaby Hospital,Nasal Surgery,256,288,22,45.1
2011/12,Fraser,Burnaby Hospital,Nerve Surgery,5,17,13.7,25.6
2011/12,Fraser,Burnaby Hospital,Other Ear Surgery,<5,<5,,
2011/12,Fraser,Burnaby Hospital,Other Eye Surgery,108,142,13.9,29.7
2011/12,Fraser,Burnaby Hospital,Other Joint Reconstruction,19,52,8.6,27.4
2011/12,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,51,85,15.1,42.6
2011/12,Fraser,Burnaby Hospital,Other Urology Surgery,84,208,4.5,18
2011/12,Fraser,Burnaby Hospital,Parotidectomy,<5,12,4.9,10.9
2011/12,Fraser,Burnaby Hospital,Prostate Surgery,163,396,5.9,27.4
2011/12,Fraser,Burnaby Hospital,Rectal Surgery,26,37,14.1,29.1
2011/12,Fraser,Burnaby Hospital,Shoulder Surgery,179,157,11.9,32.3
2011/12,Fraser,Burnaby Hospital,Sinus Surgery,192,394,14.6,45
2011/12,Fraser,Burnaby Hospital,Skin Surgery,9,16,19.1,42.6
2011/12,Fraser,Burnaby Hospital,Skin Tumour Removal,37,58,14.1,39
2011/12,Fraser,Burnaby Hospital,Sphincterotomy,<5,6,6.4,18
2011/12,Fraser,Burnaby Hospital,Tendon Surgery,7,15,3.6,20.5
2011/12,Fraser,Burnaby Hospital,Thyroidectomy,7,16,5.5,18.4
2011/12,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,53,85,13,44.9
2011/12,Fraser,Burnaby Hospital,Tympanoplasty,30,22,23.4,37.9
2011/12,Fraser,Burnaby Hospital,Uterine Surgery,144,262,7.5,24
2011/12,Fraser,Burnaby Hospital,Vaginal Repair,25,36,9.8,20
2011/12,Fraser,Burnaby Hospital,Vascular Surgery - Other,5,10,3.1,14.2
2011/12,Fraser,Burnaby Hospital,Wound/Laceration Care,16,19,15.1,31.2
2011/12,Fraser,Chilliwack General Hospital,All Other Procedures,<5,44,3.1,20.4
2011/12,Fraser,Chilliwack General Hospital,All Procedures,"1,515","8,305",6,22.4
2011/12,Fraser,Chilliwack General Hospital,Appendectomy,0,<5,,
2011/12,Fraser,Chilliwack General Hospital,Biopsy in OR,<5,34,1.9,4
2011/12,Fraser,Chilliwack General Hospital,Bladder Surgery,37,136,4.6,27.2
2011/12,Fraser,Chilliwack General Hospital,Bowel Resection,10,73,2.7,6.6
2011/12,Fraser,Chilliwack General Hospital,Breast Biopsy,18,92,2.7,5.8
